commit	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	status	description
unknown	1.886114	180.3	223.8	42204.0	41.24	271.1	517	33.6	8	keep	baseline
unknown	1.434170	180.1	206.3	42084.0	41.12	267.4	1020	33.6	8	keep	halve effective batch to double optimizer updates
unknown	1.251378	180.1	216.6	21289.0	40.36	261.1	1992	33.6	8	keep	halve device and effective batch for twice more updates
unknown	1.209519	180.0	217.0	10891.5	38.90	251.0	3830	33.6	8	keep	halve batch to 64K tokens for four thousand updates
unknown	1.216578	180.0	217.7	5692.8	35.71	230.1	7022	33.6	8	discard	probe 32K-token batch at higher update frequency
unknown	1.191261	180.0	205.7	5692.8	35.79	230.6	7037	33.6	8	keep	32K batch with learning rates halved
unknown	1.187467	180.0	217.9	3093.4	29.39	189.3	11551	33.6	8	keep	16K batch with proportionally halved learning rates
unknown	1.198614	180.0	211.5	1864.3	21.12	270.4	16504	16.9	6	discard	reduce depth from eight to six layers
unknown	1.194602	180.0	214.6	2761.5	28.63	208.0	12693	30.4	7	discard	remove one block while retaining 512 model width
unknown	1.185455	180.0	216.4	2791.9	27.96	198.1	12090	29.4	8	keep	reduce MLP expansion from four to three
unknown	1.205028	180.0	215.4	2468.9	26.13	205.7	12554	25.2	8	discard	reduce MLP expansion from three to two
unknown	1.190444	180.0	206.2	2792.4	27.82	197.1	12030	29.4	8	discard	extend linear learning-rate warmdown from half to 70 percent
unknown	1.181987	180.0	206.2	2792.4	27.94	198.0	12082	29.4	8	keep	shorten linear learning-rate warmdown from half to 30 percent
unknown	1.211615	180.0	206.1	2792.4	28.00	198.4	12107	29.4	8	discard	concentrate learning-rate warmdown in final ten percent
unknown	1.105619	180.0	213.5	2706.9	24.57	174.1	10626	29.4	8	keep	replace hidden-matrix AdamW with batched Muon
unknown	1.115828	180.0	210.4	2706.9	25.27	179.0	10925	29.4	8	discard	reduce Muon Newton-Schulz iterations from five to three
unknown	1.143801	180.0	206.7	2706.9	24.26	171.9	10491	29.4	8	discard	double Muon hidden-matrix learning rate
unknown	1.099826	180.0	207.7	2706.9	24.34	172.5	10526	29.4	8	keep	lower Muon hidden-matrix learning rate to 0.0075
unknown	1.092764	180.0	207.6	2706.9	24.46	173.3	10578	29.4	8	keep	lower Muon hidden-matrix learning rate to 0.005
unknown	1.094701	180.0	207.1	2706.9	24.14	171.0	10439	29.4	8	discard	lower Muon hidden-matrix learning rate to 0.0025
unknown	1.092331	180.0	207.5	2706.9	24.32	172.3	10515	29.4	8	keep	refine Muon hidden-matrix learning rate to 0.004
unknown	1.092982	180.0	207.2	2706.9	24.56	174.0	10620	29.4	8	discard	lower input embedding AdamW learning rate to 0.10
unknown	1.091891	180.0	207.0	2706.9	24.52	173.7	10602	29.4	8	keep	raise input embedding AdamW learning rate to 0.20
unknown	1.091360	180.0	207.3	2706.9	24.47	173.4	10582	29.4	8	keep	raise input embedding AdamW learning rate to 0.30
unknown	1.091414	180.0	207.7	2706.9	24.53	173.8	10607	29.4	8	discard	raise input embedding AdamW learning rate to 0.60
unknown	1.091644	180.0	207.4	2706.9	24.27	171.9	10494	29.4	8	discard	refine input embedding AdamW learning rate to 0.40
unknown	1.090218	180.0	207.9	2706.9	24.49	173.5	10588	29.4	8	keep	double output-head AdamW learning rate to 0.002
unknown	1.096139	180.0	207.1	2706.9	24.23	171.7	10477	29.4	8	discard	raise output-head AdamW learning rate to 0.004
unknown	1.090518	180.0	207.0	2706.9	24.46	173.3	10577	29.4	8	discard	refine output-head AdamW learning rate to 0.00175
unknown	1.071474	180.0	217.3	5047.3	31.50	223.3	6815	29.4	8	keep	double batch and Muon rate to halve orthogonalization steps
unknown	1.061851	180.0	216.7	9734.0	36.22	257.0	3922	29.4	8	keep	double batch and Muon rate again to 64K tokens
unknown	1.060587	180.1	216.5	19116.0	38.26	272.2	2077	29.4	8	keep	double batch and Muon rate again to 128K tokens
unknown	1.075656	180.1	217.4	37856.5	39.24	280.5	1070	29.4	8	discard	scale batch and Muon rate to final 256K one-microbatch point
