commit	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	status	description
unknown	1.850546	180.1	215.6	42204.0	38.12	250.6	478	33.6	8	keep	baseline
unknown	1.772924	180.1	225.6	42200.5	35.65	285.7	545	33.6	8	keep	1024 context with batch 256 for higher throughput
unknown	1.823451	180.0	229.6	42199.3	27.32	246.9	471	33.6	8	discard	512 context with batch 512 for additional throughput
unknown	1.734338	180.1	221.7	32620.5	25.90	331.4	632	20.4	8	keep	384-wide model for compute-optimal token scaling
unknown	1.672236	180.1	220.5	27905.2	18.81	320.9	612	15.1	8	keep	320-wide model to refine compute-optimal scale
unknown	1.684348	180.2	222.5	32693.7	24.56	314.6	600	20.4	8	discard	384-wide model with 64-d attention heads
unknown	1.738197	180.3	220.4	24827.5	13.07	314.0	599	10.5	8	discard	256-wide model to bracket compute-optimal scale
unknown	1.729812	180.1	217.5	25681.9	20.06	327.7	625	16.9	6	discard	six-layer width-384 model for depth-width allocation
unknown	1.599559	180.2	222.0	55453.4	20.79	354.4	676	15.1	8	keep	device batch 512 to eliminate gradient accumulation
unknown	1.708239	180.1	223.7	52000.6	16.70	307.7	626	15.1	8	discard	768 context with one 640-sequence microbatch
unknown	1.668663	180.1	209.9	55452.8	19.62	334.5	638	15.1	8	discard	40 percent LR warmdown for more effective learning
unknown	1.683777	180.2	209.6	55452.8	20.04	341.8	652	15.1	8	discard	60 percent LR warmdown for gentler convergence
unknown	1.617736	180.2	221.5	60570.9	20.70	352.8	673	15.1	8	discard	fused QKV projection for lower attention overhead
unknown	1.783911	180.2	209.2	55452.8	19.98	340.8	650	15.1	8	discard	lower matrix weight decay for the smaller model
unknown	1.634337	180.3	209.9	55452.8	19.90	339.7	648	15.1	8	discard	higher matrix weight decay to test stronger regularization
unknown	1.621292	180.1	221.4	50310.1	18.14	340.8	650	13.4	8	discard	three-times MLP expansion for leaner parameter allocation
unknown	1.626255	180.1	220.9	41654.3	19.35	328.7	836	15.1	8	discard	393k one-step batch for more optimizer updates
unknown	1.793275	180.1	221.6	69251.3	20.42	349.3	533	15.1	8	discard	655k one-step batch for higher GPU utilization
unknown	1.751729	180.3	210.0	69249.8	21.18	362.4	553	15.1	8	discard	655k batch with linearly scaled learning rates
unknown	1.614949	180.3	221.8	55452.8	20.07	342.4	653	15.1	8	discard	relaxed logit softcap of 30
unknown	0.000000	0.0	202.5	0.0	0.00	0.0	0	0.0	0	crash	reduce-overhead compile mode for static training shapes (OutOfMemoryError)
unknown	0.000000	0.0	191.4	0.0	0.00	0.0	0	0.0	0	crash	reduce-overhead compile with graph cleanup before evaluation (OutOfMemoryError)
unknown	1.584524	180.0	209.4	55424.5	21.75	370.1	706	15.1	8	keep	reduce-overhead compile with compiler reset before evaluation
unknown	1.700541	180.3	220.4	60545.2	22.38	381.2	727	15.1	8	discard	fused QKV projection under CUDA-graph compile mode
unknown	1.537406	180.0	220.4	48531.3	22.53	382.6	834	15.1	8	keep	458k batch under CUDA graphs for more updates
unknown	1.437288	180.1	219.7	41626.0	22.84	387.3	985	15.1	8	keep	393k batch under CUDA graphs for still more updates
unknown	1.425065	180.1	219.5	34720.9	22.49	380.8	1162	15.1	8	keep	328k batch under CUDA graphs for higher update count
unknown	1.346751	180.1	218.9	27822.2	22.69	383.5	1463	15.1	8	keep	262k batch under CUDA graphs to bracket update optimum
unknown	1.280577	180.1	218.3	20921.2	22.11	373.2	1898	15.1	8	keep	197k batch under CUDA graphs to continue update sweep
unknown	1.245362	180.1	218.3	14020.7	20.61	347.2	2649	15.1	8	keep	131k batch under CUDA graphs to find update optimum
unknown	1.232588	180.0	219.2	10571.2	19.95	335.8	3416	15.1	8	keep	98k batch under CUDA graphs near update optimum
unknown	1.240191	180.0	218.3	7121.1	19.49	327.7	5000	15.1	8	discard	66k batch under CUDA graphs to locate lower boundary
unknown	1.238307	180.0	217.9	8846.1	19.94	335.3	4093	15.1	8	discard	82k CUDA-graph batch to refine lower-batch optimum
unknown	1.282569	180.0	207.0	10571.2	19.37	326.0	3316	15.1	8	discard	Adam beta2 0.98 for smoother small-batch variance
unknown	1.263039	180.0	206.8	10571.2	19.48	327.8	3335	15.1	8	discard	lower weight decay for the high-update small batch regime
unknown	1.233937	180.0	217.7	10474.0	19.33	328.3	3340	14.9	8	discard	parameter-matched SwiGLU MLP at the tuned small batch
unknown	1.240191	180.0	218.3	9790.8	19.36	325.7	3614	15.1	8	discard	90k CUDA-graph batch to refine the optimum
