commit	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	status	description
unknown	1.787883	180.1	214.9	42204.0	38.35	252.2	481	33.6	8	keep	baseline
unknown	1.749429	180.3	211.8	42200.5	35.82	287.3	548	33.6	8	keep	1k context, 256 batch
unknown	1.727727	180.0	211.1	42200.5	35.79	286.8	547	33.6	8	keep	1k context, shorter cooldown
unknown	1.764726	180.0	215.6	42199.3	27.62	249.6	476	33.6	8	discard	512 context, 512 batch
unknown	1.743283	180.0	211.9	42200.5	35.80	286.8	547	33.6	8	discard	1k context, matrix lr 0.05
unknown	1.708505	180.3	211.6	42200.5	35.74	286.8	547	33.6	8	keep	1k context, head lr 0.008
unknown	1.669717	180.1	211.2	42200.5	35.71	286.3	546	33.6	8	keep	1k context, head lr 0.012
unknown	1.646926	180.2	211.6	42200.5	35.69	286.3	546	33.6	8	keep	1k context, head lr 0.016
unknown	1.649636	180.1	211.9	42200.5	35.59	285.2	544	33.6	8	discard	2x residual projection lr
unknown	1.622533	180.2	212.7	42200.5	35.63	285.7	545	33.6	8	keep	1k context, head lr 0.020
unknown	1.683603	180.1	211.5	42200.5	35.71	286.3	546	33.6	8	discard	1k context, head lr 0.024
unknown	1.517630	180.2	222.4	62879.5	36.21	289.0	735	33.6	8	keep	1k context, 384 microbatch
unknown	1.324750	180.0	209.1	42080.5	35.83	284.4	1085	33.6	8	keep	1k context, 256 microbatch
unknown	1.221407	180.1	208.7	21285.5	33.48	264.8	2020	33.6	8	keep	1k context, 128 microbatch
unknown	1.230166	180.0	208.3	10888.0	27.86	219.8	3354	33.6	8	discard	1k context, 64 microbatch
unknown	1.225563	180.1	219.7	16090.8	31.05	245.3	2495	33.6	8	discard	1k context, 96 microbatch
unknown	1.226251	180.0	207.5	16090.8	31.06	245.3	2495	33.6	8	discard	1k context, 96 microbatch
unknown	1.235344	180.0	220.2	18686.7	32.14	253.9	2214	33.6	8	discard	1k context, 112 microbatch
unknown	1.217119	180.0	207.7	21285.5	33.83	267.4	2040	33.6	8	keep	1k context, 128 microbatch, 5% cooldown
unknown	1.246403	180.0	207.7	21285.5	33.15	262.0	1999	33.6	8	discard	1k context, 128 microbatch, 2% cooldown
unknown	1.223817	180.1	207.7	21285.5	33.89	267.9	2044	33.6	8	discard	1k context, 128 microbatch, 5% cooldown, final lr 0.05
unknown	1.227582	180.1	207.6	21285.5	33.79	267.1	2038	33.6	8	discard	1k context, 128 microbatch, 7% cooldown
unknown	1.241511	180.1	207.6	21285.5	33.25	262.9	2006	33.6	8	discard	1k context, 128 microbatch, head lr 0.018, 5% cooldown
unknown	1.264887	180.0	209.1	21285.5	33.12	261.8	1997	33.6	8	discard	1k context, 128 microbatch, matrix lr 0.035, 1% warmup
unknown	1.243209	180.0	214.6	16581.0	28.05	285.0	2174	27.3	6	discard	6 layers, keep 512 width
unknown	1.244401	180.1	208.0	21285.5	33.28	263.1	2007	33.6	8	discard	1k context, 128 microbatch, embedding lr 0.5
unknown	1.255844	180.0	219.4	26488.3	34.96	276.6	1688	33.6	8	discard	1k context, 160 microbatch, 5% cooldown
unknown	1.241362	180.1	207.6	21285.5	33.23	262.7	2004	33.6	8	discard	1k context, 128 microbatch, wd 0.1
