commit	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	status	description
unknown	1.861346	180.2	223.8	42204.0	41.10	270.0	515	33.6	8	keep	baseline
unknown	1.405058	180.1	206.0	42084.0	41.01	266.6	1017	33.6	8	keep	halve global batch for more optimizer updates
unknown	1.305631	180.0	210.0	21289.0	31.88	206.4	1575	33.6	8	keep	quarter global batch for more optimizer updates
unknown	1.219795	180.0	206.3	10891.5	38.87	250.8	3827	33.6	8	keep	eighth global batch for still more updates
unknown	1.222502	180.0	217.8	5692.8	35.74	230.3	7028	33.6	8	discard	sixteenth global batch for update frequency
unknown	1.230508	180.0	209.4	10891.5	38.86	250.7	3826	33.6	8	discard	raise matrix lr to 0.05
unknown	1.197274	180.0	205.6	10891.5	38.90	250.9	3829	33.6	8	keep	lower matrix lr to 0.035
unknown	1.205121	180.0	205.7	10891.5	38.83	250.5	3823	33.6	8	discard	lower matrix lr to 0.03
unknown	1.202459	180.0	206.4	10891.5	38.87	250.7	3826	33.6	8	discard	refine matrix lr to 0.034
unknown	1.216807	180.0	211.3	10891.5	35.23	227.3	3469	33.6	8	discard	lower embedding lr to 0.4
unknown	1.219247	180.0	207.6	10891.5	34.58	223.2	3406	33.6	8	discard	shorten warmdown to 0.4
unknown	1.223840	180.0	207.9	10891.5	34.31	221.4	3379	33.6	8	discard	raise matrix lr to 0.036
unknown	1.206392	180.0	208.6	10888.0	27.09	213.7	3261	33.6	8	discard	1024 context with batch 64
unknown	1.219327	180.0	207.9	10891.5	34.56	223.1	3404	33.6	8	discard	lower weight decay to 0.1
unknown	1.213674	180.0	218.3	9816.5	32.25	228.9	3493	29.4	8	discard	use 3x mlp expansion
unknown	1.224682	180.0	210.4	13446.7	38.93	177.0	2701	49.8	8	discard	increase width to 640
unknown	1.235124	180.0	223.6	13286.5	36.22	190.6	2908	39.8	10	discard	10 layers width 512
unknown	1.210743	180.1	207.3	10891.5	34.21	220.9	3370	33.6	8	discard	raise unembedding lr to 0.006
unknown	1.208753	180.0	290.6	11757.0	37.27	240.5	3669	33.6	8	discard	max autotune compile mode
unknown	1.204473	180.0	217.9	10859.0	36.45	235.2	3589	33.6	8	discard	reduce overhead compile mode
unknown	1.212353	180.0	206.8	10891.5	34.58	223.2	3405	33.6	8	discard	lengthen warmdown to 0.6
unknown	1.226878	180.0	206.8	10891.5	34.47	222.5	3395	33.6	8	discard	constant weight decay
unknown	1.198707	180.1	206.9	10891.5	34.36	221.8	3384	33.6	8	discard	raise adam beta1 to 0.9
unknown	1.202425	180.0	206.8	10859.0	36.45	235.2	3589	33.6	8	discard	beta1 0.9 with reduce overhead compile
unknown	1.210907	180.0	206.9	10891.5	34.22	220.9	3370	33.6	8	discard	tune adam beta1 to 0.92
unknown	1.208727	180.0	206.7	10891.5	34.81	224.7	3428	33.6	8	discard	tune adam beta1 to 0.88
unknown	1.201880	180.0	206.8	10891.5	34.79	224.5	3426	33.6	8	discard	beta1 0.9 matrix lr 0.034
unknown	1.216744	180.1	207.0	10891.5	33.80	218.2	3329	33.6	8	discard	beta1 0.9 beta2 0.98
unknown	1.205383	180.1	207.0	10891.5	34.41	222.1	3389	33.6	8	discard	beta1 0.9 beta2 0.93
unknown	1.201124	180.0	210.9	10859.0	37.30	240.7	3673	33.6	8	discard	beta1 0.9 max autotune compile
unknown	1.221417	180.0	206.8	10891.5	34.08	219.9	3356	33.6	8	discard	raise embedding lr to 0.8
unknown	1.220548	180.0	206.4	10891.5	34.98	225.8	3445	33.6	8	discard	increase tokenizer batch size
unknown	1.222639	180.0	207.1	5692.8	27.49	177.2	5409	33.6	8	discard	32k batch with tuned matrix lr
