commit	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	status	description
unknown	1.928158	180.0	215.7	42204.0	37.97	249.6	476	33.6	8	keep	baseline
unknown	0.000000	0.0	14.7	0.0	0.00	0.0	0	0.0	0	crash	double device batch size to remove gradient accumulation (OutOfMemoryError)
unknown	1.839324	180.0	212.8	42204.0	37.96	249.6	476	33.6	8	keep	retain 10 percent learning rate at end of warmdown
unknown	1.824766	180.1	212.1	42204.0	38.04	250.1	477	33.6	8	keep	raise final learning rate floor to 20 percent
unknown	1.846106	180.3	212.6	42204.0	37.98	250.1	477	33.6	8	discard	test 30 percent final learning rate floor
unknown	1.838347	180.3	212.2	42204.0	37.98	250.1	477	33.6	8	discard	test 15 percent final learning rate floor
unknown	1.924615	180.0	212.1	42204.0	38.05	250.1	477	33.6	8	discard	shorten warmdown to 40 percent with 20 percent floor
unknown	1.710335	180.3	212.9	42200.5	35.61	285.7	545	33.6	8	keep	train at 1024 context with 256 device batch
unknown	1.853973	180.1	217.6	42199.3	26.59	240.6	459	33.6	8	discard	train at 512 context with 512 device batch
unknown	1.352073	180.2	211.0	42080.5	35.47	281.8	1075	33.6	8	keep	halve optimizer batch to 262k tokens
unknown	1.241190	180.0	220.5	21285.5	33.16	262.1	2000	33.6	8	keep	reduce optimizer batch to 131k tokens
unknown	1.231445	180.0	221.1	10888.0	27.32	215.5	3289	33.6	8	keep	reduce optimizer batch to 65k tokens
unknown	1.266149	180.0	221.5	5689.3	19.33	152.3	4649	33.6	8	discard	reduce optimizer batch to 32k tokens
unknown	1.240184	180.0	221.9	8288.7	23.77	187.5	3814	33.6	8	discard	test 49k optimizer batch
unknown	1.221491	180.0	209.2	10888.0	27.45	216.5	3304	33.6	8	keep	lower matrix learning rate to 0.03
unknown	1.221753	180.0	208.9	10888.0	27.67	218.3	3331	33.6	8	discard	lower matrix learning rate to 0.02
unknown	1.236099	180.0	209.4	10888.0	26.28	207.4	3164	33.6	8	discard	lower embedding learning rate to 0.4
unknown	1.232264	180.0	208.8	10888.0	26.78	211.3	3224	33.6	8	discard	lower unembedding learning rate to 0.002
unknown	1.220316	180.0	209.0	10888.0	26.45	208.7	3184	33.6	8	keep	test 10 percent floor with small optimizer batch
unknown	1.210925	180.1	209.0	10888.0	26.05	205.6	3137	33.6	8	keep	test 5 percent floor with small optimizer batch
unknown	1.204142	180.0	209.3	10888.0	26.83	211.7	3230	33.6	8	keep	test zero floor with small optimizer batch
unknown	1.212909	180.0	208.9	10888.0	26.79	211.4	3225	33.6	8	discard	lower weight decay to 0.1
unknown	1.199057	180.0	208.6	10888.0	26.90	212.2	3238	33.6	8	keep	raise Adam beta1 to 0.9
unknown	1.211707	180.1	209.5	10888.0	26.11	206.0	3144	33.6	8	discard	raise Adam beta1 to 0.95
unknown	1.233520	180.1	208.7	10888.0	26.16	206.4	3150	33.6	8	discard	raise Adam beta2 to 0.99
unknown	1.221504	180.0	209.6	10888.0	26.35	207.9	3173	33.6	8	discard	keep weight decay constant through training
unknown	1.221340	180.1	220.6	10888.0	26.79	211.4	3226	33.6	8	discard	loosen logits softcap to 30
unknown	1.240337	180.0	214.7	6602.5	14.39	231.9	3538	16.9	6	discard	reduce depth from 8 to 6
unknown	1.223891	180.0	223.5	13443.4	36.60	198.0	3022	49.8	8	discard	widen 8 layer model to 640 hidden
unknown	1.218636	180.0	219.0	9811.0	23.40	207.7	3169	29.4	8	discard	narrow MLP multiplier from 4 to 3
unknown	1.199047	180.0	209.1	10888.0	27.11	213.9	3264	33.6	8	keep	tune matrix learning rate to 0.035
unknown	1.240707	180.0	208.8	10888.0	26.34	207.8	3171	33.6	8	discard	test matrix learning rate 0.04 with beta1 0.9
unknown	1.204933	180.0	209.1	10888.0	26.87	212.0	3235	33.6	8	discard	raise unembedding learning rate to 0.006
unknown	1.205757	180.0	208.4	10888.0	26.88	212.1	3236	33.6	8	discard	raise embedding learning rate to 0.8
unknown	1.260566	180.0	225.1	10886.8	19.10	169.6	2588	33.6	8	discard	512 context with 65k optimizer batch
unknown	1.208645	180.0	217.0	10888.0	26.87	212.0	3235	33.6	8	discard	set RMSNorm epsilon to 1e-6
unknown	1.159354	180.0	217.9	10888.0	26.06	205.6	3137	33.6	8	keep	replace squared ReLU with GELU
unknown	1.166148	180.0	218.0	10888.0	26.62	210.0	3205	33.6	8	discard	use tanh approximate GELU
unknown	1.171689	180.0	217.8	10888.0	26.36	207.9	3173	33.6	8	discard	replace GELU with SiLU activation
